Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-th01_ses-07_run-01_T1w,5247.3,365.4,15681.9,62197.3,9240.9,4307.3,6742.0,2499.4,871.2,1580.5,22294.9,5246.3,2147.7,1245.9,715.9,5006.6,0.0,628.4,5790.2,448.3,14924.1,64828.1,9035.5,4600.3,6824.0,2382.3,5394.7,2213.4,728.0,4724.1,0.0,737.0,0.0,780.5,0.0,0.0,0.0,0.0,0.0,0.0,953.3,580.2,1138.8,1148.1,1136.0,1376251.0,1360115.0,1361000.98308,295000.75686,294394.796814,589395.553675,271705.868407,270721.560998,542427.429405,73364.0,789322.553675,1219066.98308,1206425.98308,1204301.0,1667321.0,0.795025,0.963169,20.0,25.0,45.0,1731078.20477
sub-ud92_ses-01_run-01_T1w,4424.0,440.2,14739.4,57128.6,8321.4,4550.1,5170.2,2047.7,990.3,2117.6,20980.6,4555.5,1941.5,906.0,611.9,4738.2,0.0,604.4,4110.0,457.8,13849.2,58009.2,7842.7,4525.9,5169.8,1905.4,4866.6,2279.9,635.9,5019.7,0.0,587.3,0.0,919.7,0.0,0.0,0.0,0.0,0.0,0.0,744.5,503.7,1020.0,987.8,778.9,1307030.0,1293346.0,1294141.96766,286454.629941,283419.617342,569874.247283,257601.394031,259200.326351,516801.720382,65740.0,749942.247283,1163636.96766,1153752.96766,1151620.0,1576368.0,0.80265,0.968051,17.0,28.0,45.0,1628393.49101
sub-ud92_ses-02_run-01_T1w,4309.0,446.1,14653.1,57860.4,8234.4,4552.4,5204.2,2041.6,968.5,2173.6,21362.1,4568.5,1948.9,878.9,612.2,4778.1,0.0,583.7,4041.3,479.6,13924.0,58859.8,8051.9,4582.9,5153.1,1933.3,4877.0,2186.0,624.2,4858.0,0.0,578.2,0.0,897.1,0.0,0.0,0.0,0.0,0.0,0.0,760.6,513.3,1012.3,968.7,793.7,1305081.0,1291517.0,1292128.00926,286519.483345,284169.203323,570688.686668,255154.27625,257405.046346,512559.322595,65799.0,752240.686668,1160125.00926,1150371.00926,1148436.0,1579818.0,0.807823,0.977881,17.0,16.0,33.0,1615552.4218
sub-ud92_ses-03_run-01_T1w,4524.7,462.5,14612.6,56741.0,8102.0,4491.7,5122.8,2058.1,994.8,2195.3,21160.5,4520.9,1932.9,911.3,586.9,4753.3,0.0,606.2,4199.2,477.2,13731.1,58730.2,7824.5,4570.0,5189.4,1984.6,4765.0,2222.9,601.3,4841.5,0.0,616.6,0.0,905.8,0.0,0.0,0.0,0.0,0.0,0.0,764.5,500.0,992.6,941.7,780.6,1294378.0,1280318.0,1281107.07909,282754.609254,280213.876935,562968.486188,254837.911926,256318.680979,511156.592906,65232.0,742807.486188,1150784.07909,1140633.07909,1138568.0,1571532.0,0.80398,0.97613,23.0,20.0,43.0,1609962.39947
sub-ud92_ses-04_run-01_T1w,4678.6,467.7,14512.9,57006.5,8262.4,4535.1,5248.8,2101.3,1001.3,2165.0,20962.2,4527.0,1949.7,907.7,558.5,4725.9,0.0,585.6,4282.1,471.4,13924.5,58029.0,8021.4,4558.0,5159.9,1858.4,4864.7,2113.6,568.3,4845.4,0.0,601.7,0.0,849.9,0.0,0.0,0.0,0.0,0.0,0.0,762.2,519.9,1019.6,976.9,760.7,1297856.0,1283669.0,1284494.56439,283871.99894,280757.060497,564629.059438,254872.110383,258112.394571,512984.504955,65501.0,744266.059438,1154792.56439,1144459.56439,1142289.0,1575545.0,0.811094,0.984636,24.0,24.0,48.0,1600130.02988
sub-ud92_ses-05_run-01_T1w,4582.6,466.2,14778.1,56618.6,8110.1,4482.0,5223.4,2016.8,1002.4,2096.3,21154.1,4514.2,1969.7,923.7,630.8,4894.6,0.0,591.5,4263.0,506.0,13969.6,58663.4,7947.2,4491.4,5218.0,1865.7,4815.1,2215.9,610.8,4843.2,0.0,565.1,0.0,1016.9,0.0,0.0,0.0,0.0,0.0,0.0,751.0,500.7,978.2,954.0,812.7,1294501.0,1280439.0,1281508.19108,281393.755164,278160.157539,559553.912702,256196.696899,258364.581477,514561.278377,65427.0,739458.912702,1151056.19108,1140827.19108,1138473.0,1571782.0,0.798683,0.96976,30.0,32.0,62.0,1620794.5391
sub-ud92_ses-06_run-01_T1w,4380.8,425.6,14783.0,57923.1,8316.5,4494.8,5165.8,2017.2,963.3,2145.8,21474.9,4540.0,1930.1,912.9,627.3,4717.0,0.0,604.1,4061.4,479.2,13987.0,58875.8,7886.8,4524.6,5154.3,1941.4,4784.9,2171.5,629.7,4893.5,0.0,562.5,0.0,1065.3,0.0,0.0,0.0,0.0,0.0,0.0,764.9,503.9,1025.5,979.7,805.6,1307488.0,1293876.0,1294583.43752,285611.439247,280687.653183,566299.09243,258485.234113,261022.110981,519507.345094,65420.0,747467.09243,1162338.43752,1152560.43752,1150519.0,1578283.0,0.807945,0.97528,39.0,40.0,79.0,1618287.65401
sub-ud92_ses-07_run-01_T1w,4362.7,451.0,14647.5,56895.6,8180.5,4485.3,5186.7,2050.9,963.2,2130.7,21047.7,4562.4,1931.0,907.9,590.4,4820.4,0.0,615.3,4099.7,445.7,13943.2,58558.1,7821.0,4559.3,5111.6,1938.5,4830.5,2192.3,619.6,4887.2,0.0,567.4,0.0,1132.7,0.0,0.0,0.0,0.0,0.0,0.0,760.9,505.0,1030.3,931.0,781.0,1306123.0,1292554.0,1293483.4903,284483.041939,278383.560016,562866.601955,259694.070386,263678.817962,523372.888348,65308.0,742793.601955,1162725.4903,1152944.4903,1150618.0,1575478.0,0.806894,0.973296,24.0,29.0,53.0,1618704.42179
sub-xp38_ses-01_run-01_T1w,10464.9,428.6,14916.2,49856.2,7719.4,3707.3,5134.0,2129.9,929.0,2279.7,21156.9,3670.8,1639.5,1166.0,576.4,4406.2,0.0,818.1,10735.2,379.5,14561.4,52988.9,7495.4,3797.8,5214.0,1888.5,3816.2,1684.4,701.4,4313.7,0.0,788.9,0.0,984.4,0.0,0.0,0.0,0.0,0.0,0.0,1036.7,814.2,870.2,476.3,1168.8,1172466.0,1145356.0,1145548.08155,237255.225954,237967.14992,475222.375874,239591.10344,240493.602234,480084.705674,59424.0,637739.375874,1038902.08155,1015941.08155,1014539.0,1437533.0,0.844764,1.035746,3.0,5.0,8.0,1387920.71463
sub-xp38_ses-02_run-01_T1w,10396.1,419.2,14481.5,49253.5,7778.9,3754.7,5246.9,2153.3,894.6,2211.4,20944.6,3704.3,1593.6,1180.0,608.8,4422.7,0.0,693.2,10641.0,369.0,14454.8,52327.8,7546.0,3840.2,5327.1,1931.9,3789.7,1714.6,728.4,4385.6,0.0,698.8,0.0,788.9,0.0,0.0,0.0,0.0,0.0,0.0,1074.7,788.0,912.2,802.1,871.7,1168228.0,1141433.0,1141756.20947,238935.63206,240613.899307,479549.531367,236296.8088,236702.869307,472999.678107,59962.0,641419.531367,1036284.20947,1013628.20947,1012188.0,1436207.0,0.878668,1.080225,14.0,5.0,19.0,1329543.80679
