Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-sc17_ses-02_run-01_T1w,13950.4,327.6,16882.9,66019.0,7185.5,3651.5,5331.9,2329.0,1480.8,1641.6,23451.7,3539.0,1533.7,1363.7,526.5,4222.6,21.1,537.4,13695.8,292.3,15270.5,67123.9,6797.1,3907.6,5395.9,2043.6,3711.3,1669.5,575.1,4284.9,16.2,558.2,0.0,730.9,0.0,0.0,0.0,0.0,0.0,304.2,701.1,541.8,490.7,487.2,891.2,1218250.0,1184928.0,1184822.09116,251309.238723,254179.811173,505489.049896,229956.165068,226269.876191,456226.041259,57579.0,697866.049896,1051438.09116,1022502.09116,1019135.0,1768051.0,0.718934,1.043392,25.0,15.0,40.0,1694522.37971
sub-sc17_ses-03_run-01_T1w,13609.8,275.9,17426.2,66769.4,7186.9,3683.0,5459.1,2299.5,1412.0,1602.5,23305.6,3679.6,1474.8,1355.2,521.7,4282.3,16.8,548.9,13380.8,208.6,15317.3,67034.1,7105.2,4443.0,5349.8,2053.8,3805.6,1652.8,759.5,4255.1,15.7,616.2,0.0,889.5,0.0,0.0,0.0,0.0,0.0,288.3,796.1,733.6,825.1,807.8,849.9,1220439.0,1188110.0,1187662.02558,252348.168379,252347.4208,504695.589179,231015.505089,225795.931307,456811.436396,59239.0,699463.589179,1052906.02558,1024737.02557,1020979.0,1766107.0,0.721438,1.043999,16.0,15.0,31.0,1691675.25102
sub-sc17_ses-04_run-01_T1w,13575.2,298.7,18219.9,65852.5,7128.3,3676.8,5360.3,2274.4,1431.3,1573.6,23455.1,3531.0,1576.7,1267.1,517.5,4281.1,15.5,630.6,13367.8,226.0,15636.2,67151.2,7206.0,3809.5,5434.9,2054.5,3656.1,1704.3,677.1,4066.4,15.0,612.8,0.0,896.0,0.0,0.0,0.0,0.0,0.0,261.1,731.5,564.6,585.9,525.1,914.8,1229014.0,1196605.0,1196677.00915,252862.030042,255352.877156,508214.907198,232344.449521,230128.652427,462473.101949,57913.0,701854.907198,1061179.00915,1032931.00915,1028326.0,1782327.0,0.729709,1.05823,31.0,22.0,53.0,1684253.17265
sub-sc17_ses-05_run-01_T1w,13426.8,278.0,17041.2,67425.9,7133.2,3624.5,5287.8,2242.3,1442.4,1563.3,24094.3,3530.1,1503.2,1243.7,507.5,4253.6,13.0,642.8,13128.7,210.1,16008.0,69345.2,7120.3,3931.7,5415.1,2000.4,3744.6,1757.7,632.6,4355.2,7.8,634.2,0.0,823.2,0.0,0.0,0.0,0.0,0.0,279.9,738.1,567.3,591.2,531.4,898.5,1224130.0,1192074.0,1191992.772,252762.877035,253622.26468,506385.141715,231353.464854,225679.165434,457032.630288,58067.0,703257.141715,1053144.772,1025217.772,1021320.0,1758275.0,0.72398,1.039887,33.0,18.0,51.0,1690833.00136
sub-sc17_ses-06_run-01_T1w,13583.3,294.1,16908.7,66005.5,7052.4,3697.5,5425.9,2280.8,1405.6,1583.2,23147.5,3617.1,1469.3,1377.8,520.5,4175.8,27.0,674.3,13291.6,239.7,15273.6,67712.9,7160.7,3771.1,5332.3,2118.8,3753.2,1750.4,570.6,4130.3,12.0,627.5,0.0,752.9,0.0,0.0,0.0,0.0,0.0,287.6,693.2,543.4,682.1,503.6,1079.4,1228648.0,1196039.0,1195781.90115,255633.699481,255048.650086,510682.349567,232572.311418,228826.240165,461398.551583,57785.0,703755.349567,1061251.90115,1032850.90115,1029912.0,1780936.0,0.72291,1.047864,15.0,17.0,32.0,1699587.32867
sub-sc17_ses-07_run-01_T1w,13563.3,222.8,17016.3,66814.4,7263.3,3681.1,5400.4,2256.1,1444.3,1672.7,24182.8,3541.8,1548.4,1243.4,526.1,4077.8,22.1,704.8,13413.5,265.0,15459.4,67834.3,7183.5,4527.4,5304.8,2031.1,3644.1,1797.6,863.7,4095.3,16.9,727.3,0.0,913.5,0.0,0.0,0.0,0.0,0.0,303.9,728.7,531.5,655.6,519.2,998.6,1221757.0,1189084.0,1188961.30224,249410.248431,252655.139907,502065.388338,233214.26609,227196.647814,460410.913904,58801.0,697439.388338,1053423.30224,1024996.30224,1021161.0,1761655.0,0.71936,1.037247,28.0,14.0,42.0,1698395.21084
sub-so70_ses-01_run-01_T1w,11108.5,394.3,14382.1,55238.1,8356.7,3433.2,5491.2,2152.2,991.3,2066.4,22284.4,4306.9,1623.4,830.0,421.1,4246.1,31.1,531.2,4897.7,331.9,13755.6,54359.7,8490.9,3543.2,5421.4,1881.5,4910.7,1799.2,530.2,4393.7,27.0,604.9,0.0,1436.7,0.0,0.0,0.0,0.0,0.0,265.1,876.9,667.0,499.8,489.5,859.3,1224923.0,1204165.0,1203412.59866,250748.329154,252599.456393,503347.785547,251046.190827,248542.622282,499588.813108,62279.0,677016.785547,1085794.59866,1068649.59866,1065793.0,1705115.0,0.735227,1.02345,12.0,4.0,16.0,1666046.73712
sub-so70_ses-02_run-01_T1w,10936.4,475.3,13916.0,55188.7,8533.1,3472.8,5579.1,2311.1,978.7,2020.5,22643.2,4230.5,1606.2,808.2,475.9,4194.0,29.2,513.4,4862.7,363.7,12954.7,55345.4,8561.6,3623.2,5385.0,1894.8,4831.7,1655.2,571.8,4637.4,18.2,596.7,0.0,839.0,0.0,0.0,0.0,0.0,0.0,305.4,753.2,619.6,522.5,576.2,702.8,1225287.0,1204838.0,1204890.72894,251648.629978,252003.732242,503652.362219,252145.307851,248225.058872,500370.366723,62780.0,678971.362219,1086805.72894,1069976.72894,1066509.0,1700354.0,0.732722,1.016813,12.0,11.0,23.0,1672239.04884
sub-so70_ses-03_run-01_T1w,11036.5,359.1,14066.3,55246.9,8377.9,3520.2,5474.5,2125.3,1021.1,2010.8,22838.0,4230.1,1696.1,755.4,466.2,4406.9,55.2,604.0,4920.4,311.2,13067.8,55239.0,8581.5,3636.6,5416.7,1899.5,4871.4,1665.1,585.5,4468.7,27.7,571.2,0.0,843.3,0.0,0.0,0.0,0.0,0.0,299.3,764.7,616.3,517.1,552.4,759.2,1226342.0,1205758.0,1205804.37366,251221.300361,255040.661105,506261.961466,250610.596959,248083.815233,498694.412192,62589.0,681216.961466,1087778.37366,1070789.37366,1067291.0,1696358.0,0.734844,1.016485,12.0,5.0,17.0,1668847.3787
sub-so70_ses-04_run-01_T1w,10568.0,290.1,14330.0,55096.1,8495.0,3544.0,5586.5,2057.9,1030.6,1932.4,22930.5,4191.4,1815.7,766.4,526.5,4539.6,69.2,567.0,4740.0,326.6,13159.8,55047.6,8819.5,3637.7,5465.7,1846.5,4915.1,1736.1,548.2,4535.5,49.9,506.7,0.0,964.7,0.0,0.0,0.0,0.0,0.0,319.3,728.1,590.7,591.9,500.9,845.6,1228998.0,1208974.0,1208952.67315,253524.362343,253549.560753,507073.923096,251517.304548,248160.445506,499677.750055,63487.0,682761.923096,1089970.67315,1073584.67315,1070072.0,1713707.0,0.735217,1.025182,16.0,15.0,31.0,1671613.16453
